UNIPROT,Category of binding
Q9NTX7,Cargo A
P19484,Cargo A
Q9BRP8,Cargo A
Q9H425,Cargo A
Q9P0V9,Cargo A
Q14257,Cargo A
P14635,Cargo A
P0CAP2,Cargo A
Q9Y295,Cargo A
P30291,Cargo A
Q12800,Cargo A
Q99871,Cargo A
Q9NR12,Cargo A
O14730,Cargo A
Q9NQC3,Cargo A
Q9BVC4,Cargo A
Q9NRH1,Cargo A
Q9UJX3,Cargo A
P53677,Cargo A
Q9NS91,Cargo A
Q96C92,Cargo A
O14639,Cargo A
Q14153,Cargo A
Q96A73,Cargo A
Q9HD40,Cargo A
Q9UK97,Cargo A
Q9H000,Cargo A
Q9ULI2,Cargo A
Q6ZVM7,Cargo A
Q8WUP2,Cargo A
Q96GV9,Cargo A
Q96GA3,Cargo A
Q9BZI7,Cargo A
Q9BPZ7,Cargo A
Q92997,Cargo A
Q8TAP9,Cargo A
Q9NX31,Cargo A
Q96CS2,Cargo A
Q9BQQ3,Cargo A
Q86XN8,Cargo A
O94887,Cargo A
Q6P3S1,Cargo A
Q9NZI7,Cargo A
Q8NFZ5,Cargo A
Q9BYJ9,Cargo A
Q9NX04,Cargo A
P31321,Cargo A
Q5PRF9,Cargo A
Q5JTW2,Cargo A
Q01167,Cargo A
Q5U5Q3,Cargo A
P01106,Cargo A
A6NKD9,Cargo A
Q16526,Cargo A
O43294,Cargo A
A4D1P6,Cargo A
Q01201,Cargo A
Q8WVF1,Cargo A
P19532,Cargo A
Q9NQS1,Cargo A
Q9UHK0,Cargo A
Q9BST9,Cargo A
P55081,Cargo A
Q9BT25,Cargo A
Q9P2Y5,Cargo A
Q7Z2W4,Cargo A
Q9HBF4,Cargo A
O60239,Cargo A
Q6ZW31,Cargo A
Q9H6R7,Cargo A
Q9H0K1,Cargo A
Q9HAU5,Cargo A
Q07352,Cargo A
Q86UY5,Cargo A
Q9Y3T9,Cargo A
Q13895,Cargo A
O95684,Cargo A
Q5D1E8,Cargo A
Q8WU90,Cargo A
Q92599,Cargo A
Q86VQ1,Cargo A
Q9BYV8,Cargo A
O95628,Cargo A
Q14677,Cargo A
Q53EZ4,Cargo A
P47974,Cargo A
Q5JTD0,Cargo A
Q63ZY3,Cargo A
Q9ULX3,Cargo A
Q9BPZ3,Cargo A
Q96CW6,Cargo A
O14641,Cargo A
Q13627,Cargo A
Q8IXW5,Cargo A
O94927,Cargo A
P49757,Cargo A
Q96CW1,Cargo A
Q9H6D7,Cargo A
Q0JRZ9,Cargo A
O96018,Cargo A
P49674,Cargo A
P15923,Cargo A
Q8N6T3,Cargo A
O96013,Cargo A
Q8NHG8,Cargo A
Q9NYJ8,Cargo A
P50548,Cargo A
P32121,Cargo A
Q15436,Cargo A
Q9UPU7,Cargo A
Q8WUX9,Cargo A
P20042,Cargo A
Q9UQN3,Cargo A
Q8N6H7,Cargo A
Q96E09,Cargo A
Q13188,Cargo A
Q96IF1,Cargo A
Q96EV8,Cargo A
O15371,Cargo A
Q8TEH3,Cargo A
Q9C035,Cargo A
Q96N21,Cargo A
O95487,Cargo A
Q9Y6R0,Cargo A
P50579,Cargo A
Q16181,Cargo A
Q9P0J7,Cargo A
Q9UEY8,Cargo A
Q9NPI6,Cargo A
Q9UJX2,Cargo A
Q99081,Cargo A
Q13043,Cargo A
Q9H814,Cargo A
P61011,Cargo A
O15379,Cargo A
Q9BRP1,Cargo A
Q9UHR6,Cargo A
Q14814,Cargo A
Q13546,Cargo A
O75688,Cargo A
Q14145,Cargo A
Q9NZN8,Cargo A
Q6DN90,Cargo A
Q14141,Cargo A
P59780,Cargo A
Q15942,Cargo A
Q9P107,Cargo A
O00189,Cargo A
P49023,Cargo A
O95081,Cargo A
P83731,Cargo A
Q96CT7,Cargo A
Q68CZ6,Cargo A
P62873,Cargo A
Q08379,Cargo A
Q9Y2T2,Cargo A
Q15437,Cargo A
Q8IZW8,Cargo A
Q9UJX4,Cargo A
Q9HA65,Cargo A
O00221,Cargo A
Q9UHD2,Cargo A
O75843,Cargo A
Q96GY0,Cargo A
Q14693,Cargo A
P46976,Cargo A
Q9NW82,Cargo A
Q96F86,Cargo A
Q6Y7W6,Cargo A
Q9BUB5,Cargo A
O95905,Cargo A
Q8N7H5,Cargo A
P26196,Cargo A
O95049,Cargo A
Q9UI10,Cargo A
Q15036,Cargo A
Q13574,Cargo A
Q9HAW4,Cargo A
Q00537,Cargo A
Q8TDH9,Cargo A
Q14674,Cargo A
O95721,Cargo A
Q9Y6I3,Cargo A
Q13371,Cargo A
O60573,Cargo A
Q9Y6B7,Cargo A
Q9BW71,Cargo A
Q09161,Cargo A
Q9NSV4,Cargo A
P52594,Cargo A
O15530,Cargo A
Q6ULP2,Cargo A
O76094,Cargo A
Q96RE7,Cargo A
Q13428,Cargo A
Q13144,Cargo A
Q01968,Cargo A
Q8IXQ3,Cargo A
Q8NDI1,Cargo A
Q9NZ09,Cargo A
Q6AWC2,Cargo A
P55039,Cargo A
O60784,Cargo A
Q9NP61,Cargo A
Q5T7W7,Cargo A
Q9H977,Cargo A
Q15654,Cargo A
P98082,Cargo A
Q68CZ2,Cargo A
Q3YEC7,Cargo A
Q9UGP4,Cargo A
O43164,Cargo A
P40855,Cargo A
Q7Z4H7,Cargo A
P17844,Cargo A
Q8N961,Cargo A
P25963,Cargo A
Q8TF05,Cargo A
Q6P1J9,Cargo A
Q8NE71,Cargo A
Q6NW29,Cargo A
A7E2V4,Cargo A
Q70E73,Cargo A
O94855,Cargo A
P23025,Cargo A
Q76NI1,Cargo A
Q13501,Cargo A
P52630,Cargo A
Q12899,Cargo A
Q9Y4W2,Cargo A
Q7L3B6,Cargo A
Q6P1N0,Cargo A
Q9UHD8,Cargo A
Q9NZQ3,Cargo A
Q9UMZ2,Cargo A
P04049,Cargo A
Q86YR5,Cargo A
Q2M3G4,Cargo A
Q12834,Cargo A
Q676U5,Cargo A
Q8IW35,Cargo A
Q9UHB9,Cargo A
Q86TC9,Cargo A
Q13033,Cargo A
Q14978,Cargo A
P07910,Cargo A
O94804,Cargo A
Q9BZL6,Cargo A
O00203,Cargo A
Q9BXS5,Cargo A
Q9UHW5,Cargo A
P53992,Cargo A
Q9P2E3,Cargo A
Q9NVX0,Cargo A
Q15019,Cargo A
Q6ZSR9,Cargo A
P42566,Cargo A
P11274,Cargo A
Q9NWT6,Cargo A
P62750,Cargo A
P60228,Cargo A
Q9NUP1,Cargo A
O60841,Cargo A
Q9Y484,Cargo A
O75175,Cargo A
P48444,Cargo A
Q9Y450,Cargo A
Q5TAQ9,Cargo A
P35611,Cargo A
Q9UDY8,Cargo A
P78344,Cargo A
Q9UBF2,Cargo A
P05198,Cargo A
Q9HCN4,Cargo A
O14617,Cargo A
Q92572,Cargo A
Q9Y4H2,Cargo A
Q2M2I8,Cargo A
O75122,Cargo A
Q8NEC7,Cargo A
Q9UBF8,Cargo A
Q15649,Cargo A
Q6R327,Cargo A
P49591,Cargo A
C4AMC7,Cargo A
Q96MX6,Cargo A
Q76I76,Cargo A
Q9NR50,Cargo A
Q9H1Y0,Cargo A
Q7Z309,Cargo A
P35269,Cargo A
P52298,Cargo A
O14965,Cargo A
Q13442,Cargo A
Q5T8P6,Cargo A
Q13485,Cargo A
Q96A49,Cargo A
Q8IX03,Cargo A
Q2NKX8,Cargo A
Q9Y3S2,Cargo A
Q9UPM8,Cargo A
P55209,Cargo A
P53618,Cargo A
O43583,Cargo A
Q96EY5,Cargo A
Q9H446,Cargo A
Q6PI26,Cargo A
P41091,Cargo A
Q8N8S7,Cargo A
P35606,Cargo A
P11532,Cargo A
Q9UIV1,Cargo A
P13674,Cargo A
Q96HR8,Cargo A
P55010,Cargo A
P50552,Cargo A
Q9Y678,Cargo A
O60566,Cargo A
P48729,Cargo A
Q2TAZ0,Cargo A
O60832,Cargo A
Q96EN8,Cargo A
Q99816,Cargo A
P19387,Cargo A
Q14653,Cargo A
O94817,Cargo A
P15880,Cargo A
Q96RS0,Cargo A
Q9NT62,Cargo A
Q8TC07,Cargo A
Q9GZZ9,Cargo A
P63010,Cargo A
P24928,Cargo A
Q9P2D3,Cargo A
P53621,Cargo A
P23588,Cargo A
Q9UPN7,Cargo A
Q9UBB6,Cargo A
Q8NEZ2,Cargo A
P22681,Cargo A
Q3V6T2,Cargo A
Q9UK41,Cargo A
Q99733,Cargo A
O43865,Cargo A
Q9H8Y8,Cargo A
Q8N8R7,Cargo A
Q9H6U6,Cargo A
P61158,Cargo A
Q10567,Cargo A
O15027,Cargo A
O75534,Cargo A
Q9H6T3,Cargo A
Q8TD16,Cargo A
P61962,Cargo A
P09132,Cargo A
Q92600,Cargo A
Q9Y2W1,Cargo A
Q96AC1,Cargo A
P62879,Cargo A
Q99717,Cargo A
Q5SW79,Cargo A
O60907,Cargo A
Q641Q2,Cargo A
Q15025,Cargo A
P42345,Cargo A
Q16204,Cargo A
P10398,Cargo A
Q92747,Cargo A
O14579,Cargo A
P0CW22,Cargo A
Q6PD62,Cargo A
Q8WVC0,Cargo A
Q9Y262,Cargo A
Q13164,Cargo A
Q15773,Cargo A
Q8WWN8,Cargo A
Q86YV9,Cargo A
O95819,Cargo A
P56377,Cargo A
Q9NX24,Cargo A
O75170,Cargo A
Q6P2E9,Cargo A
O43684,Cargo A
Q9UNF1,Cargo A
Q9H4A3,Cargo A
Q9ULJ7,Cargo A
Q8ND56,Cargo A
O60231,Cargo A
O43318,Cargo A
Q9H9Y4,Cargo A
P30876,Cargo A
P19388,Cargo A
Q96D46,Cargo A
Q9ULH7,Cargo A
Q15628,Cargo A
Q9BQL6,Cargo A
Q15653,Cargo A
Q9UK59,Cargo A
Q562E7,Cargo A
Q96RG2,Cargo A
Q8NCE2,Cargo A
O43747,Cargo A
Q5W0V3,Cargo A
Q53EL6,Cargo A
Q9UER7,Cargo A
Q15047,Cargo A
P62487,Cargo A
O95999,Cargo A
O75340,Cargo A
P22694,Cargo A
P55735,Cargo A
Q12768,Cargo A
P13984,Cargo A
Q99613,Cargo A
P49770,Cargo A
P61221,Cargo A
P29353,Cargo A
Q16630,Cargo A
Q9ULC4,Cargo A
Q5VZ89,Cargo A
Q8WW22,Cargo A
Q8WWY3,Cargo A
P36954,Cargo A
Q5T1M5,Cargo A
P61966,Cargo A
Q9NRF8,Cargo A
P61247,Cargo A
Q15750,Cargo A
Q96ST2,Cargo A
A5YKK6,Cargo A
Q9UJY4,Cargo A
Q01130,Cargo A
P23396,Cargo A
Q96PU5,Cargo A
O60716,Cargo A
Q9NWS0,Cargo A
Q9UDY2,Cargo A
Q6PL24,Cargo A
P61923,Cargo A
Q96S55,Cargo A
P46783,Cargo A
Q7Z6K5,Cargo A
O00743,Cargo A
P62081,Cargo A
Q00536,Cargo A
Q96KG9,Cargo A
Q9H6Y2,Cargo A
Q9Y4Z0,Cargo A
Q9Y6A4,Cargo A
P46937,Cargo A
Q9BQS8,Cargo A
P09661,Cargo A
Q9C0C2,Cargo A
Q2M389,Cargo A
Q9BXP5,Cargo A
Q14558,Cargo A
Q8TCG1,Cargo A
P46781,Cargo A
P61160,Cargo A
Q13685,Cargo A
P67809,Cargo A
P62249,Cargo A
O14733,Cargo A
Q9UPQ0,Cargo A
Q9Y265,Cargo A
P53803,Cargo A
Q9BWH6,Cargo A
Q9BZK7,Cargo A
Q8TD19,Cargo A
Q9H6S3,Cargo A
P62269,Cargo A
Q96B23,Cargo A
P10644,Cargo A
Q13162,Cargo A
P62241,Cargo A
O15145,Cargo A
P68400,Cargo A
O95782,Cargo A
P62701,Cargo A
Q96HC4,Cargo A
O15372,Cargo A
P60510,Cargo A
P13861,Cargo A
Q8WWH5,Cargo A
O15116,Cargo A
P62266,Cargo A
O95071,Cargo A
O14545,Cargo A
Q99570,Cargo A
P63151,Cargo A
O75717,Cargo A
Q658Y4,Cargo A
P59998,Cargo A
P15170,Cargo A
Q14181,Cargo A
Q3ZCM7,Cargo A
O75794,Cargo A
P62280,Cargo A
P42285,Cargo A
P62495,Cargo A
Q5H9R7,Cargo A
Q53LP3,Cargo A
Q14232,Cargo A
Q9BPX5,Cargo A
P67870,Cargo A
P09651,Cargo A
Q7Z739,Cargo A
Q8IXJ6,Cargo A
Q9UH36,Cargo A
Q5TKA1,Cargo A
Q13322,Cargo A
O95685,Cargo A
Q9P270,Cargo A
Q9BTK6,Cargo A
Q6UUV9,Cargo A
Q14679,Cargo A
Q8IUC6,Cargo A
Q9BVS4,Cargo A
Q9BVQ7,Cargo A
Q9Y5A9,Cargo A
Q6UUV7,Cargo A
P30260,Cargo A
Q8WU79,Cargo A
Q9Y597,Cargo A
Q8TBC3,Cargo A
Q14134,Cargo A
Q07020,Cargo A
Q14671,Cargo A
P51617,Cargo A
Q9BQK8,Cargo A
P47736,Cargo A
Q14157,Cargo A
Q684P5,Cargo A
Q9UKS6,Cargo A
O95149,Cargo A
P50542,Cargo A
Q86XL3,Cargo A
Q96ED9,Cargo A
Q96II8,Cargo A
Q9H6K1,Cargo A
Q8WUF5,Cargo A
Q13492,Cargo A
Q86TB9,Cargo A
Q2T9J0,Cargo B
Q93052,Cargo B
Q8IYB5,Cargo B
P08670,Cargo B
Q15032,Cargo B
P13807,Cargo B
Q9Y2H5,Cargo B
P05423,Cargo B
Q04864,Cargo B
O75420,Cargo B
Q8TEU7,Cargo B
P19838,Cargo B
Q06587,Cargo B
Q9NWF9,Cargo B
Q2TAY7,Cargo B
Q8N9N2,Cargo B
Q13310,Cargo B
O94979,Cargo B
P05090,Cargo B
Q04206,Cargo B
Q8WXG6,Cargo B
Q7LBC6,Cargo B
O95486,Cargo B
P11940,Cargo B
Q9Y4K1,Cargo B
Q9Y3I0,Cargo B
Q96QG7,Cargo B
O95197,Cargo B
Q92900,Cargo B
Q7Z460,Cargo B
P35869,Cargo B
Q9ULX6,Cargo B
Q96N67,Cargo B
O00750,Cargo B
Q00653,Cargo B
Q14457,Cargo B
Q9Y6Q9,Cargo B
Q9Y343,Cargo B
P36507,Cargo B
Q9HD67,Cargo B
Q93008,Cargo B
Q9HCD6,Cargo B
Q08AD1,Cargo B
Q9NVN3,Cargo B
Q07157,Cargo B
P23258,Cargo B
Q92609,Cargo B
P68366,Cargo B
Q9UPN9,Cargo B
Q9Y230,Cargo B
Q96CN4,Cargo B
Q969V6,Cargo B
P63092,Cargo B
Q9Y6Y8,Cargo B
Q8N163,Cargo B
O15111,Cargo B
Q99614,Cargo B
Q66PJ3,Cargo B
P68371,Cargo B
Q6NZY4,Cargo B
Q96EX3,Cargo B
P04350,Cargo B
P28340,Cargo B
P42224,Cargo B
P85037,Cargo B
P62277,Cargo B
Q13509,Cargo B
Q9UBC2,Cargo B
Q08945,Cargo B
Q8NB46,Cargo B
P09012,Cargo B
O15144,Cargo B
Q9NUU7,Cargo B
P17612,Cargo B
O15357,Cargo B
O43633,Cargo B
Q9BRX2,Cargo B
Q9NUP9,Cargo B
Q6PD74,Cargo B
Q15018,Cargo B
P08579,Cargo B
Q92917,Cargo B
Q15054,Cargo B
Q9NYL2,Cargo B
Q9GZS3,Cargo B
P50851,Cargo B
P62851,Cargo B
Q6UXN9,Cargo B
P08865,Cargo B
P49137,Cargo B
P19784,Cargo B
P68363,Cargo B
P46777,Cargo B
O60678,Cargo B
O43172,Cargo B
Q07960,Cargo B
P61964,Cargo B
Q9H0R8,Cargo B
Q14C86,Cargo B
P38117,Cargo B
O15143,Cargo B
P49841,Cargo B
Q6ZS17,Cargo B
Q52LW3,Cargo B
Q9Y4R8,Cargo B
P41743,Cargo B
Q9Y3F4,Cargo B
P49005,Cargo B
P62263,Cargo B
O00418,Cargo B
Q92888,Cargo B
P61981,Cargo B
Q5T4S7,Cargo B
O75190,Cargo B
O43175,Cargo B
P46782,Cargo B
Q9BQ67,Cargo B
O00571,Cargo B
P31025,Cargo B
Q9UBN7,Cargo B
Q6P2H3,Cargo B
Q8N122,Cargo B
Q6P3W7,Cargo B
P47929,Cargo B
Q08AM6,Cargo B
Q96K76,Cargo B
Q96B36,Cargo B
Q68DC2,Cargo B
Q9NYF3,Cargo B
Q02078,Cargo B
Q5VV17,Cargo B
Q49AN0,Cargo B
O95251,Cargo B
Q8N4B1,Cargo B
Q9P1U1,Cargo B
P62424,Cargo B
Q53ET0,Cargo B
O43524,Cargo B
O95997,Cargo B
Q96QP1,Cargo B
P23490,Cargo B
P56181,Cargo B
Q92613,Cargo B
P52272,Cargo B
P78337,Cargo B
O95067,Cargo B
P35659,Cargo B
Q9NQY0,Cargo B
Q13227,Cargo B
P57059,Cargo B
P26651,Cargo B
Q86UD0,Cargo B
P31151,Cargo B
Q86V81,Cargo B
P62753,Cargo B
Q9H9H4,Cargo B
O00311,Cargo B
Q96DF8,Cargo B
Q92841,Cargo B
Q9UKZ1,Cargo B
Q9Y446,Cargo B
Q96HN2,Cargo B
Q13425,Cargo B
Q7RTN6,Cargo B
Q6NXT1,Cargo B
Q969T3,Cargo B
Q9HCM7,Cargo B
Q8IXQ4,Cargo B
Q8N2M8,Cargo B
P48730,Cargo B
Q01804,Cargo B
P46779,Cargo B
Q8TED0,Cargo B
Q8NAV1,Cargo B
P62917,Cargo B
Q8N3J3,Cargo B
Q12857,Cargo B
Q96FK6,Cargo B
Q9UQC2,Cargo B
Q9H2G9,Cargo B
Q9BX40,Cargo B
Q8WUA2,Cargo B
O94763,Cargo B
Q6ICB4,Cargo B
Q16637,Cargo B
Q15543,Cargo B
Q8TAP8,Cargo B
Q9NSI2,Cargo B
P61244,Cargo B
P41279,Cargo B
Q9H078,Cargo B
Q8TBZ3,Cargo B
Q5VWQ8,Cargo B
O94972,Cargo B
Q96CF2,Cargo B
O60318,Cargo B
Q9UJY1,Cargo B
P51957,Cargo B
O75901,Cargo B
Q00587,Cargo B
Q15041,Cargo B
Q9NVH1,Cargo B
Q96CX6,Cargo B
Q9HAP2,Cargo B
Q9NP71,Cargo B
Q9HC44,Cargo B
Q6PCD5,Cargo B
Q02878,Cargo B
Q96JC9,Cargo B
P36578,Cargo B
Q16514,Cargo B
Q9UJM3,Cargo B
P62906,Cargo B
P18074,Cargo B
Q8IZE3,Cargo B
O75052,Cargo B
Q07955,Cargo B
Q15434,Cargo B
O75030,Cargo B
Q9BRS2,Cargo B
Q02809,Cargo B
Q96AP0,Cargo B
Q12778,Cargo B
Q9H706,Cargo B
Q15051,Cargo B
O15234,Cargo B
O75474,Cargo B
Q9Y2L9,Cargo B
Q9NW61,Cargo B
Q93073,Cargo B
Q9H668,Cargo B
Q8TF46,Cargo B
O14867,Cargo B
Q9NXV6,Cargo B
Q96GY3,Cargo B
Q9BQ70,Cargo B
Q9NYF8,Cargo B
O43822,Cargo B
Q9HAH7,Cargo B
Q8NG27,Cargo B
Q8NA72,Cargo B
Q15269,Cargo B
Q9H5Z1,Cargo B
A0AVF1,Cargo B
Q96PY6,Cargo B
P29558,Cargo B
Q8NAA4,Cargo B
Q13887,Cargo B
Q8N2Y8,Cargo B
Q9BW66,Cargo B
Q9NX40,Cargo B
Q13523,Cargo B
Q9Y4G8,Cargo B
Q96EY4,Cargo B
Q15061,Cargo B
Q9NRX1,Cargo B
Q5XX13,Cargo B
Q9Y2J4,Cargo B
Q86SX3,Cargo B
Q969U6,Cargo B
Q9NW75,Cargo B
Q5JU85,Cargo B
Q9Y2Z2,Cargo B
Q13123,Cargo B
Q969X6,Cargo B
P26440,Cargo B
Q8N5U6,Cargo B
Q9H211,Cargo B
Q96EZ8,Cargo B
Q86WR7,Cargo B
Q9UM82,Cargo B
Q6P1K8,Cargo B
Q6RFH5,Cargo B
Q5W0B1,Cargo B
Q96P50,Cargo B
Q9NWQ9,Cargo B
Q8NHP6,Cargo B
Q9UNY4,Cargo B
Q9UPW5,Cargo B
Q9H9G7,Cargo B
Q8IVT5,Cargo B
Q13247,Cargo B
Q92540,Cargo B
O15534,Cargo B
P83369,Cargo B
Q6QNY0,Cargo B
Q9NYZ3,Cargo B
Q8IWW6,Cargo B
Q2M3G0,Low Abundant Cargo
Q8TF01,Low Abundant Cargo
P78314,Low Abundant Cargo
Q9UJX5,Low Abundant Cargo
O75323,Low Abundant Cargo
Q9H875,Low Abundant Cargo
Q6PGQ7,Low Abundant Cargo
Q9NS23,Low Abundant Cargo
Q9HAV0,Low Abundant Cargo
O15460,Low Abundant Cargo
Q6UN15,Low Abundant Cargo
O00165,Low Abundant Cargo
O43900,Low Abundant Cargo
Q52LJ0,Low Abundant Cargo
Q9NRG9,Low Abundant Cargo
Q96QD5,Low Abundant Cargo
Q5VY09,Low Abundant Cargo
Q96CW5,Low Abundant Cargo
O95235,Low Abundant Cargo
Q9H019,Low Abundant Cargo
Q5SY16,Low Abundant Cargo
Q96EV2,Low Abundant Cargo
O95271,Low Abundant Cargo
Q9NY61,Low Abundant Cargo
Q6ZW76,Low Abundant Cargo
Q96L14,Low Abundant Cargo
Q9NXV2,Low Abundant Cargo
Q5T5P2,Low Abundant Cargo
P52815,Low Abundant Cargo
Q9UPU9,Low Abundant Cargo
P30305,Low Abundant Cargo
Q9UPQ3,Low Abundant Cargo
Q9H992,Low Abundant Cargo
Q9Y5Q8,Low Abundant Cargo
Q9BUH8,Low Abundant Cargo
Q9GZN7,Low Abundant Cargo
Q9NQ29,Low Abundant Cargo
O43196,Low Abundant Cargo
Q13772,Low Abundant Cargo
Q8N5I2,Low Abundant Cargo
Q9UPV9,Low Abundant Cargo
Q8IWP9,Low Abundant Cargo
Q9NQC7,Low Abundant Cargo
Q58A45,Low Abundant Cargo
Q8WVD3,Low Abundant Cargo
Q5T686,Low Abundant Cargo
Q92733,Low Abundant Cargo
O43303,Low Abundant Cargo
Q9Y6B2,Low Abundant Cargo
Q86WH2,Low Abundant Cargo
Q2NKX9,Low Abundant Cargo
Q8NHV4,Low Abundant Cargo
P35222,Low Abundant Cargo
P46778,Low Abundant Cargo
Q96MH7,Low Abundant Cargo
P37235,Low Abundant Cargo
Q9BWF3,Low Abundant Cargo
Q5VT52,Low Abundant Cargo
Q96RF0,Low Abundant Cargo
Q8N0Z3,Low Abundant Cargo
Q16629,Low Abundant Cargo
A2A3K4,Low Abundant Cargo
P57768,Low Abundant Cargo
Q8N3Y1,Low Abundant Cargo
Q99759,Low Abundant Cargo
Q9Y2P8,Low Abundant Cargo
Q96I25,Low Abundant Cargo
Q9NRA8,Low Abundant Cargo
Q9NWQ4,Low Abundant Cargo
Q9H6H4,Low Abundant Cargo
P08621,Low Abundant Cargo
P0C1Z6,Low Abundant Cargo
O60296,Low Abundant Cargo
Q16829,Low Abundant Cargo
O14640,Low Abundant Cargo
P04279,Low Abundant Cargo
Q8N5D0,Low Abundant Cargo
Q9H081,Low Abundant Cargo
Q13487,Low Abundant Cargo
Q96GD4,Low Abundant Cargo
O15287,Low Abundant Cargo
Q6PII3,Low Abundant Cargo
Q01085,Low Abundant Cargo
Q9UM13,Low Abundant Cargo
Q15287,Low Abundant Cargo
Q969G3,Low Abundant Cargo
Q969R5,Low Abundant Cargo
Q6ZRI6,Low Abundant Cargo
O15228,Low Abundant Cargo
Q93074,Low Abundant Cargo
Q9NYY3,Low Abundant Cargo
Q9UKA2,Low Abundant Cargo
Q9Y2L6,Low Abundant Cargo
Q9BRK4,Low Abundant Cargo
Q9Y2X3,Low Abundant Cargo
P51817,Low Abundant Cargo
Q09019,Low Abundant Cargo
O60303,Low Abundant Cargo
Q15233,Low Abundant Cargo
O95391,Low Abundant Cargo
Q9Y5J1,Low Abundant Cargo
Q96IU2,Low Abundant Cargo
Q9BPW8,Low Abundant Cargo
Q9BVI4,Low Abundant Cargo
Q8IZH2,Low Abundant Cargo
