UNIPROT,Category of binding
Q8IV48,Low Abundant Cargo
Q9UI08,Low Abundant Cargo
Q8IUW3,Low Abundant Cargo
Q9NP74,Low Abundant Cargo
Q6WKZ4,Low Abundant Cargo
Q14106,Low Abundant Cargo
Q9UIM3,Low Abundant Cargo
Q13243,Low Abundant Cargo
Q16623,Low Abundant Cargo
Q8IYL3,Low Abundant Cargo
Q9P0W2,Low Abundant Cargo
O43542,Low Abundant Cargo
P62068,Low Abundant Cargo
Q5JTC6,Low Abundant Cargo
Q9NRH2,Low Abundant Cargo
Q9Y5Q9,Low Abundant Cargo
Q8N9W5,Low Abundant Cargo
Q15650,Low Abundant Cargo
Q96HP0,Low Abundant Cargo
P31942,Low Abundant Cargo
O00116,Low Abundant Cargo
O95263,Low Abundant Cargo
O00186,Low Abundant Cargo
Q3B7J2,Low Abundant Cargo
Q8IZ07,Low Abundant Cargo
Q9NXC2,Low Abundant Cargo
Q9UN79,Low Abundant Cargo
P62166,Low Abundant Cargo
Q9NR81,Low Abundant Cargo
Q8IZD4,Low Abundant Cargo
Q13233,Low Abundant Cargo
Q9H0J9,Low Abundant Cargo
Q9NZI8,Low Abundant Cargo
O15037,Low Abundant Cargo
Q86WG5,Low Abundant Cargo
Q86SE9,Low Abundant Cargo
P41162,Low Abundant Cargo
Q02833,Low Abundant Cargo
Q9UKE5,Low Abundant Cargo
Q9NXB0,Low Abundant Cargo
Q4VXU2,Low Abundant Cargo
Q8TB45,Low Abundant Cargo
P22087,Low Abundant Cargo
Q12986,Low Abundant Cargo
O14939,Low Abundant Cargo
O60347,Low Abundant Cargo
Q5SSJ5,Low Abundant Cargo
Q9P203,Low Abundant Cargo
Q9NQT4,Low Abundant Cargo
Q8TAM1,Low Abundant Cargo
P48449,Low Abundant Cargo
P60201,Low Abundant Cargo
Q9H0S4,Low Abundant Cargo
Q8N6I1,Low Abundant Cargo
Q9BYW2,Low Abundant Cargo
Q9BQ90,Low Abundant Cargo
Q9Y697,Low Abundant Cargo
Q96DI7,Low Abundant Cargo
Q9Y2D8,Low Abundant Cargo
Q5VT06,Low Abundant Cargo
Q96MH2,Low Abundant Cargo
Q86XZ4,Low Abundant Cargo
Q9HBH0,Low Abundant Cargo
Q9P0W5,Low Abundant Cargo
Q9BRQ8,Low Abundant Cargo
Q86UU1,Low Abundant Cargo
Q15797,Low Abundant Cargo
Q6ZW49,Low Abundant Cargo
A6NGR9,Low Abundant Cargo
Q9H1J1,Low Abundant Cargo
Q8N137,Low Abundant Cargo
O14893,Low Abundant Cargo
Q7Z5Y7,Low Abundant Cargo
Q96RT1,Low Abundant Cargo
Q9P2M4,Low Abundant Cargo
O75886,Low Abundant Cargo
P22736,Low Abundant Cargo
O95619,Low Abundant Cargo
Q8N9N7,Low Abundant Cargo
Q9UJA3,Low Abundant Cargo
O95639,Low Abundant Cargo
Q9UBL3,Low Abundant Cargo
Q5T5U3,Low Abundant Cargo
Q06330,Low Abundant Cargo
Q9BVJ6,Low Abundant Cargo
Q96CJ1,Low Abundant Cargo
O43660,Low Abundant Cargo
Q9H0E2,Low Abundant Cargo
P38432,Low Abundant Cargo
Q92585,Low Abundant Cargo
Q9UPX8,Low Abundant Cargo
Q9H6X5,Low Abundant Cargo
O95760,Low Abundant Cargo
Q9HCH0,Low Abundant Cargo
Q9NXR1,Low Abundant Cargo
Q9H8Y5,Low Abundant Cargo
Q9UBU7,Low Abundant Cargo
Q13829,Low Abundant Cargo
Q96C57,Low Abundant Cargo
O14713,Low Abundant Cargo
Q969G5,Low Abundant Cargo
Q92966,Low Abundant Cargo
Q9P2S5,Low Abundant Cargo
Q9NY93,Low Abundant Cargo
Q70Z53,Low Abundant Cargo
Q8IWZ8,Low Abundant Cargo
Q9HCJ0,Low Abundant Cargo
Q9C0D7,Low Abundant Cargo
O15169,Low Abundant Cargo
Q9NSY1,Low Abundant Cargo
Q9BZ72,Low Abundant Cargo
Q7Z3K3,Low Abundant Cargo
Q969S9,Low Abundant Cargo
Q9H147,Low Abundant Cargo
Q9NYH9,Low Abundant Cargo
O15049,Low Abundant Cargo
Q8IWR0,Low Abundant Cargo
Q86VX9,Low Abundant Cargo
Q02543,Low Abundant Cargo
Q8N1B4,Low Abundant Cargo
Q9H0I2,Low Abundant Cargo
Q9UQL6,Low Abundant Cargo
P42568,Low Abundant Cargo
Q99550,Low Abundant Cargo
Q6PGN9,Low Abundant Cargo
Q07343,Low Abundant Cargo
Q9NRR4,Low Abundant Cargo
Q9P0L0,Low Abundant Cargo
Q9Y2M5,Low Abundant Cargo
Q92615,Low Abundant Cargo
Q9BXF6,Low Abundant Cargo
Q9Y2K1,Low Abundant Cargo
Q99653,Low Abundant Cargo
Q9HAU0,Low Abundant Cargo
B2RTY4,Ambiguous
Q9UPQ9,Ambiguous
Q9C0B9,Ambiguous
Q12968,Ambiguous
Q5VZE5,Ambiguous
Q14596,Ambiguous
Q9H8H0,Ambiguous
Q9UJV9,Ambiguous
O15061,Ambiguous
Q86VI3,Ambiguous
Q9Y2K2,Ambiguous
O43395,Ambiguous
Q9C0B0,Ambiguous
Q8TCB7,Ambiguous
Q9Y2K5,Ambiguous
Q9Y4F5,Ambiguous
Q8N9R8,Ambiguous
P11137,Ambiguous
Q9UBB9,Ambiguous
Q8TAP6,Ambiguous
Q86SQ0,Ambiguous
Q96LI5,Ambiguous
O60563,Ambiguous
Q8ND04,Ambiguous
P53350,Ambiguous
Q8TEW0,Ambiguous
Q9UH92,Ambiguous
Q14CZ0,Ambiguous
O15042,Ambiguous
Q9BYM8,Ambiguous
Q9BSU1,Ambiguous
Q8N1W1,Ambiguous
Q6NZI2,Ambiguous
Q9Y5T5,Ambiguous
Q13049,Ambiguous
Q9UPN4,Ambiguous
Q96IY1,Ambiguous
Q5F1R6,Ambiguous
O15344,Ambiguous
Q86XP3,Ambiguous
O15514,Ambiguous
P28290,Ambiguous
P40429,Ambiguous
Q9BUL5,Ambiguous
P0C7T5,Ambiguous
O43896,Ambiguous
Q8IWX8,Ambiguous
Q92539,Ambiguous
Q147X3,Ambiguous
Q8N4C8,Ambiguous
Q9NUX5,Ambiguous
Q9Y580,Ambiguous
P41214,Ambiguous
Q9Y2W2,Ambiguous
P42679,Ambiguous
Q9UKB1,Ambiguous
Q9NZJ0,Ambiguous
Q9UFF9,Ambiguous
Q9H3Q1,Ambiguous
Q13608,Ambiguous
P20929,Ambiguous
Q9NZB2,Ambiguous
Q5T6F2,Ambiguous
P25054,Ambiguous
Q9BVP2,Ambiguous
Q9Y592,Ambiguous
O94880,Ambiguous
Q9BXL6,Ambiguous
Q03468,Ambiguous
Q8TEQ0,Ambiguous
Q14241,Ambiguous
Q15329,Ambiguous
Q6Q0C0,Ambiguous
Q8TAF3,Ambiguous
Q9UJX6,Ambiguous
P07942,Ambiguous
Q8NBP7,Ambiguous
Q16659,Ambiguous
Q13042,Ambiguous
Q9H9A5,Ambiguous
Q8IWJ2,Ambiguous
Q4KMP7,Ambiguous
Q9Y485,Ambiguous
P51970,Ambiguous
Q9NYA4,Ambiguous
Q9UPT8,Ambiguous
Q08380,Ambiguous
Q8TEP8,Ambiguous
Q9Y5X1,Ambiguous
Q5T2E6,Ambiguous
Q6PID8,Ambiguous
Q9NQA3,Ambiguous
Q9BQF6,Ambiguous
Q9ULM6,Ambiguous
Q9Y217,Ambiguous
O15164,Ambiguous
A6NKT7,Ambiguous
O00443,Ambiguous
Q8N5C8,Ambiguous
Q2KHR3,Ambiguous
Q9H1A4,Ambiguous
Q86W92,Ambiguous
P10909,Ambiguous
Q9NQW6,Ambiguous
Q14186,Ambiguous
Q9H0W8,Ambiguous
Q9UQ35,Ambiguous
Q5VW36,Ambiguous
Q15468,Ambiguous
Q8N0Z6,Ambiguous
Q6P1M9,Ambiguous
P84098,Ambiguous
Q9H307,Ambiguous
Q9HB21,Ambiguous
Q7L2J0,Ambiguous
Q7Z478,Ambiguous
Q96FC9,Ambiguous
A0JNW5,Ambiguous
Q15596,Ambiguous
O75909,Ambiguous
Q9BVG8,Ambiguous
Q9HAS0,Ambiguous
O00139,Ambiguous
Q5RKV6,Ambiguous
Q12980,Ambiguous
Q9BYJ4,Ambiguous
Q01844,Ambiguous
O15231,Ambiguous
Q13615,Ambiguous
P27635,Ambiguous
P33981,Ambiguous
Q8N3C0,Ambiguous
A6NKZ8,Ambiguous
Q5QP82,Ambiguous
Q86X10,Ambiguous
Q9H3H3,Ambiguous
Q8WW59,Ambiguous
Q96GM8,Ambiguous
Q8IWZ3,Ambiguous
Q8N6R0,Ambiguous
Q9Y4E1,Ambiguous
Q12872,Ambiguous
Q9HCK8,Ambiguous
Q63HR2,Ambiguous
P06400,Ambiguous
Q96ES7,Ambiguous
P27448,Ambiguous
Q9H4H8,Ambiguous
Q13424,Ambiguous
O43823,Ambiguous
O75376,Ambiguous
Q8WXE0,Ambiguous
Q9NZ71,Ambiguous
P42766,Ambiguous
Q96G01,Ambiguous
Q7KZI7,Ambiguous
Q5JTH9,Ambiguous
O43683,Ambiguous
Q8TBB5,Ambiguous
O76080,Ambiguous
Q9BZH6,Ambiguous
Q8NG31,Ambiguous
Q14192,Ambiguous
Q86V87,Ambiguous
Q9UBZ4,Ambiguous
Q9H410,Ambiguous
Q6AI12,Ambiguous
Q9UJK0,Ambiguous
P29597,Ambiguous
Q9UPR3,Ambiguous
Q9NVZ3,Ambiguous
Q9BZF3,Ambiguous
Q8TCU4,Ambiguous
Q9BY44,Ambiguous
Q9H4L5,Ambiguous
Q9Y3S1,Ambiguous
P35326,Ambiguous
Q9Y2G9,Ambiguous
Q8IVF2,Ambiguous
Q9H7C4,Ambiguous
Q9Y4B4,Ambiguous
Q96JM3,Ambiguous
Q92562,Ambiguous
O95248,Ambiguous
Q8N726,Ambiguous
Q13885,Ambiguous
Q9HC98,Ambiguous
Q92614,Ambiguous
Q9NVU0,Ambiguous
Q14527,Ambiguous
P06576,Ambiguous
Q9Y4L5,Ambiguous
Q5TA45,Ambiguous
Q8IY67,Ambiguous
Q05513,Ambiguous
O43150,Ambiguous
Q8NEB9,Ambiguous
Q09472,Ambiguous
Q9BQI3,Ambiguous
Q9BRQ0,Ambiguous
Q9ULE0,Ambiguous
O95835,Ambiguous
Q9Y4E6,Ambiguous
Q15291,Ambiguous
Q8N3R9,Ambiguous
Q12774,Ambiguous
Q2NL82,Ambiguous
Q9UKL0,Ambiguous
P49959,Ambiguous
Q9HCE5,Ambiguous
P54259,Ambiguous
Q9Y6W5,Ambiguous
P61353,Ambiguous
Q5T750,Ambiguous
Q9UKK3,Ambiguous
Q15311,Ambiguous
P29590,Ambiguous
Q14160,Ambiguous
P26368,Ambiguous
O75179,Ambiguous
Q13555,Ambiguous
Q6XZF7,Ambiguous
Q13625,Ambiguous
Q16594,Ambiguous
Q14152,Ambiguous
Q9NYR9,Ambiguous
Q14498,Ambiguous
P78537,Ambiguous
Q9H3P2,Ambiguous
Q53GL7,Ambiguous
Q13480,Ambiguous
Q96RK0,Ambiguous
Q96AX1,Ambiguous
Q9BYG5,Ambiguous
Q15427,Ambiguous
Q9UK99,Ambiguous
Q96B26,Ambiguous
P62899,Ambiguous
Q8WXI7,Ambiguous
Q9P1Y5,Ambiguous
Q92979,Ambiguous
Q86V97,Ambiguous
Q14669,Ambiguous
Q96JP5,Ambiguous
P16989,Ambiguous
Q12802,Ambiguous
Q96D71,Ambiguous
Q9GZT4,Ambiguous
Q6P2C8,Ambiguous
O94967,Ambiguous
Q9Y285,Ambiguous
O75496,Ambiguous
Q9Y5U2,Ambiguous
Q9H0F6,Ambiguous
P31689,Ambiguous
Q6P0Q8,Ambiguous
Q9H5V9,Ambiguous
Q13614,Ambiguous
O14879,Ambiguous
O14773,Ambiguous
Q15477,Ambiguous
Q69YN2,Ambiguous
Q96P47,Ambiguous
Q5VYS8,Ambiguous
Q14331,Ambiguous
O75143,Ambiguous
O75385,Ambiguous
P35637,Ambiguous
Q9BVA1,Ambiguous
O43809,Ambiguous
Q96P16,Ambiguous
P84103,Ambiguous
Q7Z401,Ambiguous
Q13613,Ambiguous
P50750,Ambiguous
Q969F9,Ambiguous
Q8NC51,Ambiguous
Q8IV33,Ambiguous
Q9H267,Ambiguous
P86791,Ambiguous
O00541,Ambiguous
Q9NRL3,Ambiguous
P04150,Ambiguous
P84090,Ambiguous
O95232,Ambiguous
Q02750,Ambiguous
P42677,Ambiguous
O43815,Ambiguous
O75934,Ambiguous
Q9H6Z4,CRM1 Cofactor
P78406,NPC
P43487,CRM1 Cofactor
P63279,NPC
P52292,NTR
P55060,NTR
P52294,NTR
O00505,NTR
O60684,NTR
O00629,NTR
Q8TEX9,NTR
O95373,NTR
O00410,NTR
Q96P70,NTR
Q14974,NTR
Q9HAV4,NTR
Q9UI26,NTR
O15397,NTR
Q92973,NTR
Q9Y5L0,NTR
Q9C0E2,NTR
Q9UIA9,NTR
O43592,NTR
Q9BVL2,NUP
Q7Z3B4,NUP
P49790,NUP
Q96HA1,NUP
P52948,NUP
Q99567,NUP
P37198,NUP
P49792,NUP
P35658,NUP
Q5SRE5,NUP
Q8N1F7,NUP
Q12769,NUP
Q9BW27,NUP
Q96EE3,NUP
Q8NFH3,NUP
P57740,NUP
Q8NFH4,NUP
Q8WUM0,NUP
Q92621,NUP
O75694,NUP
Q8NDV7,Ambiguous
Q8NE35,Ambiguous
Q9Y2I9,Ambiguous
Q96NL6,Ambiguous
Q9BVV6,Ambiguous
Q969Q6,Ambiguous
Q9HC77,Ambiguous
Q6ZRV2,Ambiguous
Q96QA5,Ambiguous
Q8WVV4,Ambiguous
O60307,Ambiguous
Q5T4F4,Ambiguous
Q07283,Ambiguous
O60568,Ambiguous
Q14687,Ambiguous
Q2KHT3,Ambiguous
O60281,Ambiguous
P05783,Ambiguous
P63165,Ambiguous
Q14774,Ambiguous
Q14999,Ambiguous
P42357,Ambiguous
Q01469,Ambiguous
Q9UMY1,Ambiguous
Q6DD88,Ambiguous
Q9P0U4,Ambiguous
P26373,Ambiguous
Q6GYQ0,Ambiguous
P25705,Ambiguous
Q8WZ42,Ambiguous
Q92622,Ambiguous
Q9UKA4,Ambiguous
Q8TES7,Ambiguous
Q15517,Ambiguous
O43290,Ambiguous
Q6WRX3,Ambiguous
Q6ZTN6,Ambiguous
Q12923,Ambiguous
Q9BRX9,Ambiguous
Q71RC2,Ambiguous
Q86US8,Ambiguous
Q8NHY2,Ambiguous
P25311,Ambiguous
Q92793,Ambiguous
Q9BX69,Ambiguous
Q9H2D6,Ambiguous
Q9Y3B9,Ambiguous
Q9NZT1,Ambiguous
Q3MIN7,Ambiguous
Q9HAF1,Ambiguous
Q9NRJ4,Ambiguous
Q86VM9,Ambiguous
Q9ULL1,Ambiguous
Q92558,Ambiguous
Q9Y618,Ambiguous
Q9NUL3,Ambiguous
P16403,Ambiguous
Q58EX7,Ambiguous
Q99633,Ambiguous
Q12788,Ambiguous
Q8IYL2,Ambiguous
Q14244,Ambiguous
P14923,Ambiguous
Q6P3S6,Ambiguous
P41002,Ambiguous
Q8NHQ9,Ambiguous
Q9H8V3,Ambiguous
Q5SZK8,Ambiguous
Q16610,Ambiguous
Q8WUQ7,Ambiguous
Q9Y620,Ambiguous
Q13112,Ambiguous
Q8NB91,Ambiguous
Q5VWN6,Ambiguous
P26045,Ambiguous
Q9NXA8,Ambiguous
P05089,Ambiguous
Q9H583,Ambiguous
Q9BSJ8,Ambiguous
Q08554,Ambiguous
Q13835,Ambiguous
Q8NDG6,Ambiguous
Q96C12,Ambiguous
Q9NVW2,Ambiguous
O43548,Ambiguous
Q9H792,Ambiguous
Q9Y4G2,Ambiguous
Q99878,Ambiguous
Q6ZVX7,Ambiguous
Q6P2P2,Ambiguous
P01876,Ambiguous
Q13535,Ambiguous
Q9NXG0,Ambiguous
Q9UBL6,Ambiguous
Q53F19,Ambiguous
O00522,Ambiguous
Q5T749,Ambiguous
P01040,Ambiguous
Q7Z7L7,Ambiguous
O94986,Ambiguous
A8MPP1,Ambiguous
Q96RT7,Ambiguous
Q99661,Ambiguous
Q7Z5K2,Ambiguous
P49454,Ambiguous
Q9Y2F5,Ambiguous
Q02413,Ambiguous
Q9UKV8,Ambiguous
P78363,Ambiguous
P29120,Ambiguous
Q96BD8,Ambiguous
P68871,Ambiguous
Q9UG01,Ambiguous
Q13325,Ambiguous
Q9UHI6,Ambiguous
P34947,Ambiguous
Q9NR80,Ambiguous
P48681,Ambiguous
Q15788,Ambiguous
P22735,Ambiguous
Q8IWA0,Ambiguous
Q8IWF6,Ambiguous
O14647,Ambiguous
O94761,Ambiguous
Q03001,Ambiguous
P31944,Ambiguous
P46060,Ambiguous
Q969K3,Ambiguous
Q08188,Ambiguous
Q92564,Ambiguous
Q08AF3,Ambiguous
O75161,Ambiguous
Q9ULD2,Ambiguous
Q68DK2,Ambiguous
Q99700,Ambiguous
Q2VPB7,Ambiguous
Q9H9Y6,Ambiguous
P02786,Ambiguous
Q99590,Ambiguous
Q2NKJ3,Ambiguous
Q9P0W8,Ambiguous
Q15022,Ambiguous
Q9UPN6,Ambiguous
P42356,Ambiguous
Q9H6T0,Ambiguous
Q5TAX3,Ambiguous
Q9P2G1,Ambiguous
P07437,Ambiguous
P35908,Ambiguous
Q6P6C2,Ambiguous
Q12830,Ambiguous
O43818,Ambiguous
P50416,Ambiguous
P31152,Ambiguous
Q15438,Ambiguous
Q6PIW4,Ambiguous
P78347,Ambiguous
Q14161,Ambiguous
Q09013,Ambiguous
Q9UL18,Ambiguous
Q7Z333,Ambiguous
Q8NI36,Ambiguous
P50897,Ambiguous
Q8TEL6,Ambiguous
O94906,Ambiguous
Q68DQ2,Ambiguous
Q14574,Ambiguous
Q9HCE1,Ambiguous
Q9Y2I7,Ambiguous
Q15345,Ambiguous
Q9H9L4,Ambiguous
Q9BQI6,Ambiguous
Q9P2B4,Ambiguous
Q9Y3T6,Ambiguous
Q9UK61,Ambiguous
O15055,Ambiguous
Q66LE6,Ambiguous
O95602,Ambiguous
Q9BQE3,Ambiguous
Q9Y3C0,Ambiguous
O60942,Ambiguous
Q7Z7G8,Ambiguous
Q7L099,Ambiguous
Q5HYK7,Ambiguous
Q9NW64,Ambiguous
O15360,Ambiguous
Q9UKJ3,Ambiguous
Q66K89,Ambiguous
Q14562,Ambiguous
Q8NB90,Ambiguous
Q96P63,Ambiguous
Q6UWP8,Ambiguous
Q6PJT7,Ambiguous
Q9H6S1,Ambiguous
O75787,Ambiguous
P81605,Ambiguous
P05109,Ambiguous
O14775,Ambiguous
Q4G0J3,Ambiguous
O75330,Ambiguous
P61626,Ambiguous
Q7Z2Z2,Ambiguous
P11498,Ambiguous
Q8WXE9,Ambiguous
Q9NWK9,Ambiguous
P12273,Ambiguous
Q99996,Ambiguous
Q8TDJ6,Ambiguous
O75064,Ambiguous
O00628,Ambiguous
Q9Y6R4,Ambiguous
Q9HCG8,Ambiguous
Q9NYB9,Ambiguous
Q96RT8,Ambiguous
P07355,Ambiguous
O60884,Ambiguous
P06702,Ambiguous
Q8IUC4,Ambiguous
Q9NQT5,Ambiguous
Q08117,Ambiguous
Q8WYH8,Ambiguous
Q63HN8,Ambiguous
Q9BUF5,Ambiguous
O60506,Ambiguous
Q92499,Ambiguous
Q9UBK9,Ambiguous
Q96PE2,Ambiguous
Q86VV8,Ambiguous
Q9Y587,Ambiguous
Q9BQE5,Ambiguous
Q14155,Ambiguous
P61960,Ambiguous
Q9BV38,Ambiguous
A6NHL2,Ambiguous
Q86XI2,Ambiguous
Q16342,Ambiguous
Q9UJF2,Ambiguous
B1AJZ9,Ambiguous
P62136,Ambiguous
Q9Y4P8,Ambiguous
Q6NXR4,Ambiguous
O94973,Ambiguous
P57678,Ambiguous
Q9UGJ1,Ambiguous
Q9Y5B8,Ambiguous
P51659,Ambiguous
Q56P03,Ambiguous
O95260,Ambiguous
P25098,Ambiguous
P56524,Ambiguous
Q9H8N7,Ambiguous
O43426,Ambiguous
Q92783,Ambiguous
Q6WCQ1,Ambiguous
Q9H4P4,Ambiguous
Q06190,Ambiguous
Q8IY37,Ambiguous
Q5T9S5,Ambiguous
Q9UHR4,Ambiguous
P62805,Ambiguous
P15924,Ambiguous
P62140,Ambiguous
Q9Y2U5,Ambiguous
Q53GA4,Ambiguous
Q06609,Ambiguous
Q9Y2U9,Ambiguous
Q9H6R4,Ambiguous
Q9HBG6,Ambiguous
P02788,Ambiguous
Q8IWV7,Ambiguous
P28715,Ambiguous
Q9UPP1,Ambiguous
Q2PPJ7,Ambiguous
Q13085,Ambiguous
Q9UEE9,Ambiguous
Q6VY07,Ambiguous
O43709,Ambiguous
Q96BJ3,Ambiguous
Q1KMD3,Ambiguous
Q96KQ4,Ambiguous
O00507,Ambiguous
Q99880,Ambiguous
P49662,Ambiguous
Q8WX93,Ambiguous
Q96EB1,Ambiguous
P30050,Ambiguous
O95295,Ambiguous
Q5TZA2,Ambiguous
Q70CQ2,Ambiguous
P09914,Ambiguous
O60294,Ambiguous
P18621,Ambiguous
O75449,Ambiguous
Q71DI3,Ambiguous
P39019,Ambiguous
Q8N5S9,Ambiguous
Q9BSJ2,Ambiguous
Q96EP0,Ambiguous
Q9Y3B2,Ambiguous
O43933,Ambiguous
Q6PKG0,Ambiguous
O43299,Ambiguous
Q53GS9,Ambiguous
P63244,Ambiguous
P50454,Ambiguous
P52306,Ambiguous
O15294,Ambiguous
P53990,Ambiguous
Q9UNF0,Ambiguous
P16383,Ambiguous
P15036,Ambiguous
Q05397,Ambiguous
Q9P1Z2,Ambiguous
P42684,Ambiguous
Q8IZL8,Ambiguous
Q9NRW7,Ambiguous
P09493,Ambiguous
Q6PEV8,Ambiguous
P30153,Ambiguous
Q86Y56,Ambiguous
Q13643,Ambiguous
P80217,Ambiguous
Q13618,Ambiguous
Q9Y312,Ambiguous
Q9Y6K9,Ambiguous
P33240,Ambiguous
O14920,Ambiguous
Q9H0K6,Ambiguous
Q06265,Ambiguous
Q9BUJ2,Ambiguous
Q9Y496,Ambiguous
Q6P1K2,Ambiguous
Q15154,Ambiguous
O95573,Ambiguous
Q8N392,Ambiguous
Q14CS0,Ambiguous
Q9H0D6,Ambiguous
P04792,Ambiguous
Q9C0C9,Ambiguous
P23193,Ambiguous
Q13131,Ambiguous
P29084,Ambiguous
Q8NC96,Ambiguous
Q8NCF5,Ambiguous
Q8NBA8,Ambiguous
O14964,Ambiguous
Q9Y5X2,Ambiguous
Q9C0C7,Ambiguous
Q07820,Ambiguous
Q9UMR2,Ambiguous
Q9ULR0,Ambiguous
Q9Y6J9,Ambiguous
Q14980,Ambiguous
Q96GS4,Ambiguous
Q8IYB3,Ambiguous
P23284,Ambiguous
Q15020,Ambiguous
Q9UNS2,Ambiguous
Q09666,Ambiguous
P35250,Ambiguous
P18615,Ambiguous
P19105,Ambiguous
Q96AY4,Ambiguous
P32969,Ambiguous
Q5THJ4,Ambiguous
P61956,Ambiguous
P37108,Ambiguous
Q9UMS4,Ambiguous
O60341,Ambiguous
Q6BDS2,Ambiguous
Q9NW08,Ambiguous
Q99536,Ambiguous
